,0
0,Arkansas
1,Illinois
2,Louisiana
3,Maine
4,Maryland
5,Massachusetts
6,Michigan
7,Minnesota
8,Mississippi
9,Missouri
10,Montana
11,Nebraska
12,Nevada
13,New Hampshire
14,New Jersey
15,New York
16,North Carolina
17,North Dakota
18,Ohio
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,Washington
30,West Virginia
31,Wisconsin
32,Wyoming
